제목,개요,효과,썸네일,난이도,자세분류,부위
운동 전후 스트레칭,,,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141337538_H51AF7K8Y.jpg/strch009_01.jpg?type=w224_1&wm=N,,,
,,,,,,
아침 스트레칭,,,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141325272_N89LUNDZP.jpg/strch002_01.jpg?type=w224_1&wm=N,,,
,,,,,,
잠자기 전 스트레칭,,,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141355412_9RGIA6JDN.jpg/strch020_01.jpg?type=w224_1&wm=N,,,
,,,,,,
사무실 스트레칭,,,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141326758_YOEMTMW3I.jpg/strch003_01.jpg?type=w224_1&wm=N,,,
,,,,,,
벽 밀기,"종아리에 위치한 비복근의 스트레칭이며, 뒷다리를 살짝 굽히면 가자미근이 더 스트레칭이 된다. 이 스트레칭은 걷기나 달리기 등의 운동 후 피로 회복을 위해 효과적인 스트레칭이다.",비복근과 가자미근 그리고 족저근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141415696_EC53LKORO.jpg/strch033_01.jpg?type=w224_1&wm=N,,,종아리
,,,,,,
팔꿈치 잡고 팔 뒤로 당기기,"팔꿈치 위쪽 뒷부분에 위치한 상완 삼두근의 스트레칭이다. 운동 전후 수행해 주도록 하며, 어깨와 목 등의 경직 해소에도 도움이 된다.",상완 삼두근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141337538_H51AF7K8Y.jpg/strch009_01.jpg?type=w224_1&wm=N,,,팔
,,,,,,
앉아 몸 앞으로 굽히기,허벅지 안쪽에 위치한 근육들의 스트레칭이다. 허벅지의 안쪽과 바깥쪽 근육의 유연성은 불균형적인 경우가 많은데 이 경우 근육의 손상이나 고관절 질환이 유발될 수 있다.,엉덩이 내전근군과 박근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141358262_6XE15KZN0.jpg/strch022_01.jpg?type=w224_1&wm=N,,,고관절
,,,,,,
깍지 끼고 등 뒤로 손 뻗기,가슴의 근육과 어깨 전면에 위치한 근육의 스트레칭이다. 운동 전후뿐 아니라 잘못된 자세 등으로 인한 웅크린 자세를 예방과 견관절의 통증을 예방하는 데도 효과적인 스트레칭이다.,전방 삼각근과 대흉근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141332699_W4ZP1A06T.jpg/strch005_01.jpg?type=w224_1&wm=N,,,"가슴, 
                                        어깨"
,,,,,,
앞으로 목 굽히기,목 신전근은 머리의 기립 상태를 유지하고 지지하는 역할을 하는 동안 비슷한 자세로 쉽게 피로해지기 때문에 앉아서 작업을 하거나 팔을 이용한 작업이나 운동 등을 계속할 때 자주 수행해 주어야 한다.,"상부 승모근의 스트레칭이며, 목의 측면에 위치한 근육들도 일부 스트레칭 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141324510_6U0RC0PGT.jpg/strch001_01.jpg?type=w224_1&wm=N,,,목
,,,,,,
뒤로 목 굽히기,"목 굴곡근에 해당되는 흉쇄유돌근은 목을 굽히거나 회전시킬 때 작용하며, 목을 한 쪽으로 굽히는 등의 습관으로 과도하게 긴장되거나 경직되면 자세의 이상이나 두통을 유발하기도 한다.","흉쇄유돌근의 스트레칭이며, 목의 측면에 위치한 근육들도 일부 스트레칭 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141325272_N89LUNDZP.jpg/strch002_01.jpg?type=w224_1&wm=N,,,목
,,,,,,
양 무릎 가슴으로 당기기,"엉덩이와 허리의 근육들이 스트레칭 되며, 무릎 앞쪽을 잡고 당길 수도 있다. 허리 통증을 위한 스트레칭으로도 효과적이다.",허리 신전근과 둔부의 근육의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141350159_75T518K8R.jpg/strch016_01.jpg?type=w224_1&wm=N,,,"허리, 
                                        둔부"
,,,,,,
고양이자세,"허리와 등의 근육들에 대한 스트레칭으로 요추의 안정화에 효과적이다. 허리 통증이나 척추질환에 유용하게 사용될 수 있으며, 복부 심부근육도 훈련이 된다.",척추기립근과의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141353521_PU7MZB1EK.jpg/strch019_01.jpg?type=w224_1&wm=N,,,"허리, 
                                        등"
,,,,,,
무릎 구부려 굴리기,몸통을 회전시키는 근육들의 스트레칭으로 허리 통증의 예방 및 불균형적인 근육상태를 위한 스트레칭이기도 하다.,둔부의 근육과 몸통의 하부의 근육들의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141350478_JSK3LUPX8.jpg/strch017_01.jpg?type=w224_1&wm=N,,,"허리, 
                                        둔부"
,,,,,,
