제목,개요,효과,썸네일,난이도,자세분류,부위
고양이 자세,고양이 자세는 고양이의 다양한 자세를 본떠 만든 동작으로 척추의 S자 굴곡 유지에 도움이 된다.,"- 척추에 탄력과 유연성을 길러준다. 
	 - 소화를 돕는다.                   
	 - 어깨가 유연해진다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140652632_JQACQUJJE.jpg/YOGA_002_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,복부
,,,,,,
발끝 치기,"발끝 치기는 발끝의 혈액순환을 도와주는 자세로, 발을 비롯한 하체의 혈액순환을 원활하게 해준다. 특히 손발이 차가운 분들에게 효과적이다.","- 발과 다리의 부종을 완화하는 효과가 있다. 
	 - 혈액순환을 촉진시킨다. 
	 - 허벅지를 날씬하게 해준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141030307_YP7W026Q1.jpg/YOGA_058_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,발
,,,,,,
케겔 운동,"케겔 운동은 질 주위 근육을 조였다 펴기를 반복하는 골반근육 강화 운동으로, 순산에 필수적인 동작이다. 산후 요실금 예방에 도움이 되며, 출산 후에는 항문 조이기와 병행하면 빠른 회복을 가져올 수 있다.","- 자연 분만이 쉽도록 해준다. 
	 - 요실금에 도움이 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141038852_1YUVRC7P3.jpg/YOGA_064_pic_1.jpg?type=w224_1&wm=N,초급,선 자세,
,,,,,,
바람 빼기 자세,"바람 빼기 자세는 일명 방귀 자세라고도 한다. 허리 통증을 완화시키고, 체내 가스를 없애줌으로써 숙변을 제거하는 효과가 좋다.","- 숙변을 제거한다. 
	 - 요통을 완화시켜주는 효과가 있다. 
	 - 가스를 방출한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141031329_6259KDYDZ.jpg/YOGA_059_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
코브라 자세,"코브라 자세는 척추를 교정하며 혈액순환을 원활히 해주는 효과가 있다. 전신의 군살, 특히 등과 배, 허리의 군살을 빼주어 허리를 날씬하게 가꿔준다.","- 혈액순환을 돕는다.
	 - 전신의 군살, 특히 등과 배, 허리를 날씬하게 만든다. 
	 - 어깨, 목, 등 근육을 튼튼하게 한다. 
	 - 팔 안쪽의 처진 살에 탄력을 준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140947220_8MAX9CR1N.jpg/YOGA_045_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,허리
,,,,,,
누워서 발끝 치기,누워서 발끝 치기는 발끝 치기 자세를 좀 더 편안하게 누워 행하는 동작이다. 전신의 말초 신경을 자극해서 기혈 순환을 돕고 피로 회복에 좋다.,"- 고관절이 부드러워진다. 
	 - 기혈순환을 돕는다. 
	 - 피로를 풀어준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141120948_NEOI19NSM.jpg/YOGA_081_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
머리로 서기,머리로 서기 자세는 흔히 물구나무 서기라고 불리는 동작이다. 이 자세는 '아사나의 왕'이라 일컫을만큼 요가에서 차지하는 비중이 크다. 실제로 행하다 보면 심신의 변화에 가장 크게 기여한다는 것을 몸으로 깨닫게 된다.,"- 비뚤어진 척추 및 허리를 바로잡는다. 
	 - 소화를 돕고 피부에 탄력을 준다. 
	 - 혈액순환에 좋다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140739893_ORNJ8DSUB.jpg/YOGA_015_pic_1.jpg?type=w224_1&wm=N,상급,선 자세,전신
,,,,,,
쟁기 자세,"쟁기 자세는 어깨와 목의 뭉친 근육을 풀어주고, 신진대사를 원활하게 도와주는 동작이다. 어깨로 서기 자세가 힘든 경우, 쟁기 자세로 대신 해도 동일한 효과를 낼 수 있다.","- 어깨와 목의 뭉친 근육을 풀어준다. 
	 - 복부 비만에도 효과가 있다. 
	 - 척추 교정에 도움이 된다.
	 - 머리를 맑게 한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140934454_VWVSUQZFM.jpg/YOGA_042_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,복부
,,,,,,
모관 운동,"우리 몸에는 약 51억 개의 모세혈관이 있다. 모관 운동은 이 모세혈관을 진동시켜 피로 회복과 신진대사를 활발하게 도와주는 동작이다. 특히 임신 중 점점 불러오는 배로 인해 퉁퉁 부은 다리의 부종을 없애주고, 산후에는 출산 및 육아로 피로해진 몸을 회복시키는 데 효과적이다. 남녀노소 누구나 쉽게 따라 할 수 있는 동작이다.","- 팔다리가 자주 저리고 붓는 경우 효과적이다.
	 - 피로를 풀어주고 혈액순환을 돕는다.
	 - 임산부의 다리 부종을 없애준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141016050_PV8WWXVIF.jpg/YOGA_055_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,다리
,,,,,,
